"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment"
"11/11/2020 11:31:44:166 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"Tasa_M2","1","1","1","1","1","1","1","1","1","1"
"Tasa_M3","1","1","1","1","1","1","1","1","1","1"
"Tasa_M4","1","1","1","1","1","1","1","1","1","1"
"T_P6_M2","20","20","20","20","20","20","20","20","20","20"
"P2","4","4","4","4","4","4","4","4","4","4"
"P3","3","3","3","3","3","3","3","3","3","3"
"T_P5_M2","15","15","15","15","15","15","15","15","15","15"
"P4","2","2","2","2","2","2","2","2","2","2"
"T_P4_M2","8","8","8","8","8","8","8","8","8","8"
"Tasa_M1","1","1","1","1","1","1","1","1","1","1"
"P5","3","3","3","3","3","3","3","3","3","3"
"Llegada_pedido","30","30","30","30","30","30","30","30","30","30"
"T_P3_M2","9","9","9","9","9","9","9","9","9","9"
"P6","2","2","2","2","2","2","2","2","2","2"
"T_P2_M2","12","12","12","12","12","12","12","12","12","12"
"T_P1_M1","1","1","1","1","1","1","1","1","1","1"
"T_P1_M2","7","7","7","7","7","7","7","7","7","7"
"nP6","1","1","1","1","1","1","1","1","1","1"
"T_P6_M1","4","4","4","4","4","4","4","4","4","4"
"P1","4","4","4","4","4","4","4","4","4","4"
"T_P5_M1","6","6","6","6","6","6","6","6","6","6"
"T_P4_M1","2","2","2","2","2","2","2","2","2","2"
"nP1","4","4","4","4","4","4","4","4","4","4"
"T_P3_M1","3","3","3","3","3","3","3","3","3","3"
"nP2","1","1","1","1","1","1","1","1","1","1"
"nP3","5","5","5","5","5","5","5","5","5","5"
"T_P2_M1","5","5","5","5","5","5","5","5","5","5"
"nP4","2","2","2","2","2","2","2","2","2","2"
"nP5","3","3","3","3","3","3","3","3","3","3"
"[steps]","130","130","130","130","130","130","130","130","130","130"

"[initial & final values]","makespan","makespan","makespan","makespan","makespan","makespan","makespan","makespan","makespan","makespan"
,"129","129","129","129","129","129","129","129","129","129"
