"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment"
"11/11/2020 11:31:43:586 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","Llegada_pedido","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","[step]","makespan"
"5","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"4","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"2","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"9","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"7","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"10","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"3","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"6","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"8","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
"1","1","1","1","20","4","3","15","2","8","1","3","30","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","130","129"
