"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment5b spt vs propuesta y cambio tpm2"
"11/11/2020 12:38:15:343 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"7","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","256","255","113","244","244","252"
"5","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","260","259","113","258","238","244"
"3","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","261","260","113","238","258","244"
"2","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","260","259","113","258","238","244"
"1","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","262","261","113","260","236","244"
"9","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","258","257","113","244","242","254"
"8","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","258","257","113","244","242","254"
"4","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","260","259","113","258","238","244"
"6","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","260","259","113","258","238","244"
"11","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","258","257","113","244","242","254"
"10","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","254","253","113","252","244","244"
"12","1","1","1","40","4","3","30","2","16","1","3","18","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","251","250","113","248","248","244"
