"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment4 spt vs propuesta"
"11/11/2020 12:21:52:704 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"5","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","134","133","113","118","125","127"
"8","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","130","129","113","123","127","120"
"4","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","132","131","113","118","127","125"
"7","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","129","128","113","127","126","117"
"6","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","134","133","113","123","126","121"
"1","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","129","128","113","122","123","125"
"3","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","132","131","113","118","127","125"
"2","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","129","128","113","122","123","125"
"9","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","130","129","113","122","126","122"
"10","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","130","129","113","128","120","122"
"11","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","129","128","113","124","126","120"
"12","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","131","130","113","129","118","123"
