"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment5 spt vs propuesta y cambio tpm2"
"11/11/2020 12:35:21:005 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"6","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","134","133","113","123","126","121"
"3","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","132","131","113","118","127","125"
"5","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","134","133","113","118","125","127"
"1","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","129","128","113","122","123","125"
"8","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","130","129","113","123","127","120"
"4","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","132","131","113","118","127","125"
"9","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","130","129","113","122","126","122"
"7","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","129","128","113","127","126","117"
"2","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","129","128","113","122","123","125"
"10","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","130","129","113","128","120","122"
"12","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","131","130","113","129","118","123"
"15","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","152","151","113","150","137","139"
"13","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","152","151","113","150","137","139"
"14","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","149","148","113","143","138","145"
"18","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","152","151","113","150","142","134"
"11","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","129","128","113","124","126","120"
"20","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","148","147","113","139","145","142"
"21","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","147","146","113","145","139","142"
"23","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","146","145","113","144","143","139"
"16","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","151","150","113","149","146","131"
"17","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","153","152","113","151","144","131"
"25","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","155","154","113","153","131","146"
"22","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","148","147","113","140","142","144"
"24","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","149","148","113","142","139","145"
"26","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","155","154","113","153","131","146"
"30","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","155","154","113","153","146","131"
"19","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","149","148","113","147","142","137"
"27","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","157","156","113","148","154","128"
"34","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","150","149","113","142","146","142"
"36","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","150","149","113","142","146","142"
"33","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","149","148","113","147","146","137"
"32","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","149","148","113","142","143","145"
"37","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","176","175","113","174","151","161"
"31","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","149","148","113","147","143","140"
"38","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","171","170","113","169","150","167"
"29","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","156","155","113","136","153","141"
"28","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","157","156","113","148","154","128"
"43","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","168","167","113","166","157","163"
"41","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","176","175","113","174","151","161"
"39","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","176","175","113","174","151","161"
"46","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","40","169","168","113","160","166","160"
"40","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","172","171","113","165","169","152"
"47","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","50","169","168","113","160","161","165"
"48","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","60","169","168","113","167","162","157"
"45","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","30","168","167","113","165","165","156"
"44","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","20","169","168","113","160","161","165"
"42","1","1","1","20","4","3","15","2","8","1","3","9","2","24","1","14","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","173","172","113","171","155","160"
"49","1","1","1","20","4","3","15","2","8","1","3","18","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","158","157","113","156","140","146"
