"BehaviorSpace results (NetLogo 6.1.1)"
"Ejemplo Certamen.nlogo"
"experiment6 spt vs propuesta 60 tiempos"
"11/11/2020 12:59:44:361 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","-3","3"
"[run number]","Tasa_M2","Tasa_M3","Tasa_M4","T_P6_M2","P2","P3","T_P5_M2","P4","T_P4_M2","Tasa_M1","P5","T_P3_M2","P6","T_P2_M2","T_P1_M1","T_P1_M2","nP6","T_P6_M1","P1","T_P5_M1","T_P4_M1","nP1","T_P3_M1","nP2","nP3","T_P2_M1","nP4","nP5","Heuristica","Llegada_pedido","[step]","makespan","registro_M1","tmp_utilizacion_M2","tmp_utilizacion_M3","tmp_utilizacion_M4"
"2","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","2","129","128","113","127","118","125"
"1","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","1","129","128","113","127","118","125"
"6","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","6","129","128","113","127","118","125"
"8","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","8","129","128","113","127","118","125"
"4","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","4","129","128","113","127","118","125"
"5","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","5","129","128","113","127","118","125"
"7","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","7","129","128","113","127","118","125"
"3","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","3","129","128","113","127","118","125"
"9","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","9","129","128","113","122","123","125"
"10","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","10","129","128","113","122","123","125"
"11","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","11","129","128","113","122","123","125"
"12","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","12","129","128","113","122","123","125"
"14","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","14","129","128","113","122","123","125"
"15","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","15","129","128","113","127","126","117"
"17","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","17","129","128","113","127","126","117"
"13","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","13","129","128","113","122","123","125"
"20","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","20","129","128","113","122","123","125"
"19","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","19","129","128","113","122","123","125"
"16","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","16","129","128","113","127","126","117"
"21","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","21","129","128","113","122","123","125"
"18","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","18","129","128","113","122","123","125"
"23","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","23","132","131","113","130","119","121"
"22","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","22","132","131","113","130","119","121"
"29","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","29","132","131","113","118","127","125"
"27","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","27","132","131","113","118","127","125"
"28","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","28","132","131","113","118","127","125"
"25","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","25","132","131","113","130","119","121"
"26","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","26","132","131","113","118","127","125"
"24","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","24","132","131","113","130","119","121"
"30","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","30","132","131","113","118","127","125"
"35","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","35","132","131","113","118","127","125"
"31","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","31","132","131","113","118","127","125"
"34","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","34","132","131","113","118","127","125"
"33","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","33","132","131","113","118","127","125"
"37","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","37","132","131","113","118","127","125"
"36","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","36","132","131","113","118","127","125"
"38","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","38","132","131","113","118","127","125"
"32","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","32","132","131","113","118","127","125"
"39","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","39","132","131","113","118","127","125"
"42","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","42","132","131","113","127","129","114"
"41","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","41","132","131","113","127","129","114"
"40","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","40","132","131","113","118","127","125"
"45","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","45","132","131","113","127","129","114"
"44","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","44","132","131","113","127","129","114"
"43","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","43","132","131","113","127","129","114"
"46","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","46","134","133","113","118","125","127"
"47","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","47","134","133","113","118","125","127"
"49","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","49","134","133","113","118","125","127"
"51","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","51","134","133","113","118","125","127"
"50","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","50","134","133","113","118","125","127"
"48","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","48","134","133","113","118","125","127"
"54","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","54","134","133","113","125","131","114"
"53","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","53","134","133","113","125","131","114"
"52","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","52","134","133","113","125","131","114"
"55","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","55","134","133","113","125","131","114"
"56","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","56","134","133","113","125","131","114"
"60","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","60","134","133","113","123","126","121"
"59","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","59","134","133","113","123","126","121"
"57","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","57","134","133","113","125","131","114"
"63","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","3","132","131","113","130","125","115"
"62","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","2","132","131","113","130","125","115"
"64","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","4","132","131","113","130","125","115"
"58","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","SPT","58","134","133","113","123","126","121"
"67","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","7","129","128","113","127","126","117"
"61","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","1","132","131","113","130","125","115"
"68","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","8","129","128","113","127","126","117"
"65","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","5","129","128","113","127","118","125"
"66","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","6","129","128","113","127","118","125"
"70","1","1","1","20","4","3","15","2","8","1","3","9","2","12","1","7","1","4","4","6","2","4","3","1","5","5","2","3","Propuesta","10","129","128","113","127","126","117"
